node,polarity,fan_size
1056,anti_vaccines,721
1057,anti_vaccines,981
1059,anti_vaccines,719
1060,anti_vaccines,28072
1064,anti_vaccines,896
1065,anti_vaccines,1347
1066,anti_vaccines,272
1067,anti_vaccines,4757
1069,anti_vaccines,2396
1070,anti_vaccines,1874
1071,anti_vaccines,574
1072,anti_vaccines,422
1073,anti_vaccines,467
1074,anti_vaccines,26482
1075,anti_vaccines,564
1076,anti_vaccines,236
1077,anti_vaccines,256
1078,anti_vaccines,12354
1079,anti_vaccines,13545
1081,anti_vaccines,16402
1082,anti_vaccines,30
1083,anti_vaccines,1463
1084,anti_vaccines,1383
1085,anti_vaccines,1832
1087,anti_vaccines,3874
1088,anti_vaccines,1965
1089,anti_vaccines,290
1091,anti_vaccines,743
1092,anti_vaccines,315
1093,anti_vaccines,136793
1094,anti_vaccines,563917
1096,anti_vaccines,1197
1098,anti_vaccines,2008
1099,anti_vaccines,2018
1103,anti_vaccines,884
1104,anti_vaccines,1803
1105,anti_vaccines,804
1108,anti_vaccines,3317
1109,anti_vaccines,125
1110,anti_vaccines,1001
1112,anti_vaccines,1225
1113,anti_vaccines,1672
1114,anti_vaccines,1271
1115,anti_vaccines,2845
1116,anti_vaccines,2112
1117,anti_vaccines,12035
1118,anti_vaccines,12166
1119,anti_vaccines,47
1120,anti_vaccines,1021
1121,anti_vaccines,2386
1123,anti_vaccines,854
1124,anti_vaccines,11622
1125,anti_vaccines,1095
1126,anti_vaccines,1418
1127,anti_vaccines,912
1128,anti_vaccines,15198
1130,anti_vaccines,3100
1131,anti_vaccines,537
1132,anti_vaccines,5055
1133,anti_vaccines,1477
1134,anti_vaccines,5522
1136,anti_vaccines,2017
1137,anti_vaccines,4819
1138,anti_vaccines,3751
1139,anti_vaccines,942
1140,anti_vaccines,4303
1141,anti_vaccines,422
1142,anti_vaccines,3133
1143,anti_vaccines,105
1144,anti_vaccines,6182
1145,anti_vaccines,324
1146,anti_vaccines,437
1147,anti_vaccines,1523
1148,anti_vaccines,14419
1149,anti_vaccines,85
1150,anti_vaccines,41779
1151,anti_vaccines,999
1152,anti_vaccines,688
1154,anti_vaccines,1739
1156,anti_vaccines,10063
1157,anti_vaccines,933
1158,anti_vaccines,809
1159,anti_vaccines,121
1160,anti_vaccines,203
1161,anti_vaccines,35447
1162,anti_vaccines,1306
1167,anti_vaccines,8130
1168,anti_vaccines,5326
1169,anti_vaccines,684
1171,anti_vaccines,419
1173,anti_vaccines,723
1175,anti_vaccines,1353
1176,anti_vaccines,723
1177,anti_vaccines,160
1179,anti_vaccines,1125
1181,anti_vaccines,300
1183,anti_vaccines,1038
1184,anti_vaccines,3467
1185,anti_vaccines,42431
1186,anti_vaccines,751
1187,anti_vaccines,18928
1188,anti_vaccines,4378
1189,anti_vaccines,84
1190,anti_vaccines,12407
1191,anti_vaccines,26
1193,anti_vaccines,3072
1195,anti_vaccines,649
1197,anti_vaccines,1237
1199,anti_vaccines,8221
1200,anti_vaccines,2583
1201,anti_vaccines,2172
1203,anti_vaccines,251
1204,anti_vaccines,812
1205,anti_vaccines,93
1206,anti_vaccines,3587
1207,anti_vaccines,503
1209,anti_vaccines,5544
1210,anti_vaccines,2704
1211,anti_vaccines,3151
1212,anti_vaccines,550
1214,anti_vaccines,1636
1215,anti_vaccines,1639
1216,anti_vaccines,242
1218,anti_vaccines,1485
1219,anti_vaccines,580
1222,anti_vaccines,1368
1223,anti_vaccines,5413
1224,anti_vaccines,1372
1225,anti_vaccines,1101
1226,anti_vaccines,4822
1227,anti_vaccines,1057
1228,anti_vaccines,4035
1229,anti_vaccines,1382
1230,anti_vaccines,3500
1234,anti_vaccines,555
1236,anti_vaccines,7959
1237,anti_vaccines,961
1238,anti_vaccines,346
1239,anti_vaccines,68
1240,anti_vaccines,485
1241,anti_vaccines,905
1243,anti_vaccines,2923
1245,anti_vaccines,649
1246,anti_vaccines,150
1249,anti_vaccines,174262
1250,anti_vaccines,346
1251,anti_vaccines,389
1252,anti_vaccines,231
1255,anti_vaccines,897
1256,anti_vaccines,1714
1257,anti_vaccines,6200
1258,anti_vaccines,4740
1259,anti_vaccines,30686
1261,anti_vaccines,333
1262,anti_vaccines,1503
1264,anti_vaccines,136
1265,anti_vaccines,594
1267,anti_vaccines,15722
1270,anti_vaccines,15776
1271,anti_vaccines,1606
1272,anti_vaccines,107569
1273,anti_vaccines,3849
1276,anti_vaccines,1221
1278,anti_vaccines,1909
1279,anti_vaccines,139820
1280,anti_vaccines,263
1281,anti_vaccines,3903
1282,anti_vaccines,3007
1283,anti_vaccines,19264
1284,anti_vaccines,8039
1285,anti_vaccines,1162
1286,anti_vaccines,16915
1287,anti_vaccines,1621
1289,anti_vaccines,6061
1290,anti_vaccines,579
1291,anti_vaccines,124
1292,anti_vaccines,930
1293,anti_vaccines,256
1294,anti_vaccines,12548
1298,anti_vaccines,109658
1299,anti_vaccines,1758
1302,anti_vaccines,1617
1303,anti_vaccines,17
1306,anti_vaccines,3531
1307,anti_vaccines,139
1308,anti_vaccines,158557
1311,anti_vaccines,47441
1312,anti_vaccines,10471
1313,anti_vaccines,496
1314,anti_vaccines,4746
1317,anti_vaccines,7277
1318,anti_vaccines,237
1319,anti_vaccines,2144
1320,anti_vaccines,9068
1321,anti_vaccines,1636
1322,anti_vaccines,28
1323,anti_vaccines,22
1324,anti_vaccines,2381
1325,anti_vaccines,863
1328,anti_vaccines,1625
1329,anti_vaccines,46938
1330,anti_vaccines,136
1331,anti_vaccines,349
1332,anti_vaccines,535
1333,anti_vaccines,18
1334,anti_vaccines,15776
1335,anti_vaccines,1072
1337,anti_vaccines,13100
1339,anti_vaccines,828
1340,anti_vaccines,1918
1341,anti_vaccines,97
1342,anti_vaccines,64
1343,anti_vaccines,9268
1344,anti_vaccines,4276
1345,anti_vaccines,68830
1348,anti_vaccines,2431
1349,anti_vaccines,464
1350,anti_vaccines,972
1351,anti_vaccines,7294
1352,anti_vaccines,103087
1353,anti_vaccines,105
1354,anti_vaccines,275
1356,anti_vaccines,1238
442,pro_vaccines,2
445,pro_vaccines,3181
453,pro_vaccines,506
471,pro_vaccines,2171
472,pro_vaccines,523
