node,polarity,fan_size,pos
a_00598,anti_vaccines,1364,"(282.11972, -530.866699)"
a_006,anti_vaccines,11204,"(-531.540161, -1004.376343)"
a_00604,anti_vaccines,47,"(460.387177, -810.938965)"
a_00608,anti_vaccines,2828,"(35.126389, -981.78772)"
a_00616,anti_vaccines,731,"(-19.621683, -541.182007)"
a_00618,anti_vaccines,35108,"(-173.004807, -229.925125)"
a_0062,anti_vaccines,25,"(-79.955872, -1175.026123)"
a_00621,anti_vaccines,1434,"(182.494278, -857.607056)"
a_00625,anti_vaccines,1944,"(-332.153259, 184.856339)"
a_00626,anti_vaccines,1900,"(232.306412, -444.894745)"
a_00634,anti_vaccines,5609,"(181.644318, -1186.468994)"
a_00640,anti_vaccines,1798,"(395.734375, -929.87793)"
a_00643,anti_vaccines,1213,"(42.19825, -613.610718)"
a_00645,anti_vaccines,19439,"(79.092659, -745.067871)"
a_0065,anti_vaccines,1328,"(-83.486526, -859.926514)"
a_00655,anti_vaccines,94,"(523.620667, 1509.981812)"
a_00658,anti_vaccines,12272,"(268.924591, -1513.076538)"
a_0066,anti_vaccines,32,"(25781.25, -10814.53418)"
a_00662,anti_vaccines,5072,"(-451.322113, -176.576813)"
a_00668,anti_vaccines,12221,"(284.660858, -1355.586914)"
a_0067,anti_vaccines,173,"(-19860.230469, 22174.109375)"
a_00670,anti_vaccines,84,"(420.328918, -377.399841)"
a_00691,anti_vaccines,481,"(-299.137604, -691.346069)"
a_00692,anti_vaccines,7490,"(-136.487076, -508.299408)"
a_00693,anti_vaccines,244,"(-8.676091, -709.471436)"
a_00694,anti_vaccines,175,"(-209.819641, -642.290649)"
a_00695,anti_vaccines,385,"(312.015137, 42.357189)"
a_0070,anti_vaccines,267,"(-131.334137, -693.070251)"
a_00702,anti_vaccines,59,"(-220.512802, -842.037903)"
a_00704,anti_vaccines,442,"(164.305588, -691.86969)"
a_00706,anti_vaccines,989,"(-271.790619, -513.640442)"
a_00713,anti_vaccines,2348,"(-21.661671, -612.387939)"
a_00724,anti_vaccines,3526,"(585.995056, 218.571838)"
a_00726,anti_vaccines,11918,"(-1448.770996, -292.874847)"
a_00728,anti_vaccines,309,"(26.710888, 281.542847)"
a_00733,anti_vaccines,85,"(-225.424637, -931.505859)"
a_00738,anti_vaccines,380,"(150.513229, -1244.011475)"
a_00739,anti_vaccines,635,"(132.925598, -1240.334473)"
a_0074,anti_vaccines,86,"(-20945.849609, 21079.865234)"
a_00740,anti_vaccines,1582,"(-65.687012, -313.952576)"
a_00741,anti_vaccines,106,"(250.580505, -295.982666)"
a_00742,anti_vaccines,743,"(-10.737994, -817.20282)"
a_00753,anti_vaccines,51,"(211.925156, -181.929581)"
a_00754,anti_vaccines,1269,"(137.166, -688.75415)"
a_00756,anti_vaccines,8879,"(-690.018066, 276.056946)"
a_00762,anti_vaccines,479,"(14.512136, -721.235718)"
a_00764,anti_vaccines,5222,"(22.211405, -975.121948)"
a_00765,anti_vaccines,1372,"(30.537178, -695.736694)"
a_00771,anti_vaccines,343,"(-46.737034, -629.68634)"
a_00773,anti_vaccines,1232,"(74.008369, -997.639099)"
a_00778,anti_vaccines,2902,"(146.678909, -913.897888)"
a_00779,anti_vaccines,539,"(166.647964, -529.150146)"
a_0078,anti_vaccines,11310,"(-984.035156, -460.960632)"
a_00780,anti_vaccines,3521,"(19.918343, -906.151978)"
a_00782,anti_vaccines,13236,"(265.626373, -900.392517)"
a_00784,anti_vaccines,1089,"(522.828735, -665.757996)"
a_0079,anti_vaccines,128,"(-8259.03125, 25781.25)"
a_00799,anti_vaccines,127,"(-185.762115, -808.314819)"
a_008,anti_vaccines,1568,"(-41.222881, -1007.59021)"
a_0080,anti_vaccines,25,"(-23562.371094, 18040.142578)"
a_00805,anti_vaccines,6464,"(44.884663, -962.889771)"
a_0081,anti_vaccines,0,"(-17804.371094, 23792.929688)"
a_00811,anti_vaccines,658,"(86.284424, -1084.192017)"
a_00815,anti_vaccines,8124,"(104.874725, -548.418945)"
a_00816,anti_vaccines,3507,"(-41.744644, -849.510986)"
a_00817,anti_vaccines,734,"(-349.519501, -565.07019)"
a_00818,anti_vaccines,621,"(-178.451981, -759.876099)"
a_0082,anti_vaccines,0,"(3991.86792, -24218.75)"
a_00821,anti_vaccines,990,"(-103.853889, -300.13205)"
a_00827,anti_vaccines,861,"(-456.877228, -351.620972)"
a_00828,anti_vaccines,2074,"(-70.788094, -258.389038)"
a_00832,anti_vaccines,877,"(271.344666, -416.354065)"
a_00833,anti_vaccines,2276,"(-41.323383, -696.583862)"
a_00848,anti_vaccines,2435,"(215.939194, -215.077515)"
a_00849,anti_vaccines,11045,"(253.960724, -622.796265)"
a_0085,anti_vaccines,0,"(2031.296997, 25781.25)"
a_00854,anti_vaccines,1938,"(53.377583, -812.576904)"
a_00855,anti_vaccines,1191,"(122.30246, -586.783813)"
a_00861,anti_vaccines,7304,"(150.924088, -968.959534)"
a_00863,anti_vaccines,836,"(300.963989, -512.396057)"
a_00865,anti_vaccines,2263,"(-34.797878, -464.675659)"
a_00866,anti_vaccines,693,"(-73.715477, -595.316162)"
a_00882,anti_vaccines,138,"(-121.106453, -739.887024)"
a_00883,anti_vaccines,2840,"(-148.712524, -842.639893)"
a_00886,anti_vaccines,44,"(337.572998, 1147.618652)"
a_00890,anti_vaccines,1100,"(466.211548, -573.859985)"
a_00891,anti_vaccines,3747,"(27.118261, -804.133057)"
a_00894,anti_vaccines,3327,"(81.237083, -625.390686)"
a_00899,anti_vaccines,587,"(886.568237, -2.458357)"
a_009,anti_vaccines,19,"(-23132.966797, -18677.65625)"
a_00900,anti_vaccines,1265,"(160.715637, -230.712921)"
a_00908,anti_vaccines,1962,"(215.469177, -837.924194)"
a_00917,anti_vaccines,4557,"(36.803757, -915.206909)"
a_0092,anti_vaccines,846,"(-16444.339844, 24793.71875)"
a_00923,anti_vaccines,9798,"(128.601334, -967.534363)"
a_00929,anti_vaccines,4438,"(-372.882172, -287.045593)"
a_00930,anti_vaccines,1420,"(181.216507, -689.086914)"
a_00931,anti_vaccines,12562,"(145.233353, -630.57373)"
a_00936,anti_vaccines,261,"(-28.440199, -511.848328)"
a_00938,anti_vaccines,737,"(-222.050323, -363.384247)"
a_0094,anti_vaccines,0,"(19606.337891, -22511.761719)"
a_00943,anti_vaccines,6827,"(-110.444885, -817.548462)"
a_00945,anti_vaccines,810,"(-26.597435, -862.953491)"
a_00949,anti_vaccines,925,"(-355.984283, -89.235313)"
a_00950,anti_vaccines,1283,"(-17.322969, -911.52301)"
a_00952,anti_vaccines,31427,"(-207.814682, -506.907959)"
a_00954,anti_vaccines,2316,"(204.576904, -492.030853)"
a_00957,anti_vaccines,2851,"(110.139969, -980.518555)"
a_00959,anti_vaccines,1432,"(278.172302, -506.597992)"
a_0096,anti_vaccines,917,"(117.555153, -255.340729)"
a_00961,anti_vaccines,1007,"(-114.184273, -673.96106)"
a_00972,anti_vaccines,234,"(233.153275, -349.410095)"
a_00975,anti_vaccines,1012,"(-153.212112, -391.217041)"
a_00976,anti_vaccines,7080,"(443.907593, -836.634277)"
a_00979,anti_vaccines,453974,"(22.515127, -176.450027)"
a_00980,anti_vaccines,1694,"(-232.603226, -414.66214)"
a_00995,anti_vaccines,1011,"(192.256943, -261.049225)"
a_00997,anti_vaccines,3914,"(70.481995, -716.156189)"
a_00998,anti_vaccines,10535,"(282.506409, -625.494324)"
a_00999,anti_vaccines,13064,"(-438.396271, -322.967468)"
n_0010,neutral,902,"(17761.111328, 23976.785156)"
n_001000,neutral,25959,"(1058.918457, -3.57785)"
n_001006,neutral,331936,"(-491.008423, -152.023087)"
n_00101,neutral,2,"(25781.25, 7293.756348)"
n_001010,neutral,22109,"(-14.47967, 61.866756)"
n_001012,neutral,45,"(461.415649, 1461.393433)"
n_001013,neutral,136,"(131.995346, -278.259155)"
n_001015,neutral,8499,"(-614.651428, -159.244034)"
n_001017,neutral,543,"(498.00119, 1580.731323)"
n_001018,neutral,11088,"(783.470337, 1389.883911)"
n_00102,neutral,11736,"(25781.25, 7325.509766)"
n_001020,neutral,1097,"(1108.05127, 123.802505)"
n_001021,neutral,22697,"(-544.567078, 113.147346)"
n_001022,neutral,7003,"(-629.361206, 53.420135)"
n_001023,neutral,3826,"(247.867798, 1660.321289)"
n_001025,neutral,586,"(15.012178, -549.304321)"
n_001026,neutral,109846,"(927.047729, 406.582214)"
n_001027,neutral,7996,"(-131.313736, -324.333832)"
n_001030,neutral,1113,"(1053.746582, 202.521027)"
n_001031,neutral,39867,"(666.808228, 1322.311035)"
n_001032,neutral,16509,"(-292.188202, -601.940552)"
n_001033,neutral,2619,"(875.511841, 180.70578)"
n_001034,neutral,3138,"(752.246216, 1556.016479)"
n_001035,neutral,230579,"(753.506348, 775.221924)"
n_001036,neutral,5348,"(623.362549, 1482.357056)"
n_001037,neutral,11016,"(-697.515015, -60.425091)"
n_001038,neutral,173,"(857.198181, 32.053871)"
n_001039,neutral,1396,"(745.349854, 1591.710815)"
n_001042,neutral,29840,"(908.341309, -126.165535)"
n_001043,neutral,584432,"(333.047211, 1249.99646)"
n_001044,neutral,206,"(589.993225, 1545.204346)"
n_001045,neutral,2003,"(114.724419, -687.315613)"
n_001046,neutral,447,"(674.984985, -36.919182)"
n_001047,neutral,2619,"(-586.66449, 25.881119)"
n_001048,neutral,1491,"(-7.831674, -571.422852)"
n_00105,neutral,10246,"(-1564.573486, -304.254883)"
n_001052,neutral,5134,"(702.628418, -98.464973)"
n_001053,neutral,1867,"(919.325439, 365.124146)"
n_001055,neutral,100611,"(51.046402, -6.261746)"
n_001056,neutral,271,"(342.653198, 1627.623291)"
n_001057,neutral,17710,"(-388.979401, 17.339415)"
n_001058,neutral,13701,"(216.169464, 41.837963)"
n_00106,neutral,1192,"(-7005.087402, 25781.25)"
n_001060,neutral,606,"(836.770081, 112.03511)"
n_001065,neutral,220,"(342.679291, 1479.374268)"
n_001066,neutral,15379,"(-61.3937, -39.724285)"
n_001068,neutral,15775,"(-483.140106, 70.541862)"
n_001069,neutral,11854,"(771.71936, 1571.091187)"
n_00107,neutral,1985,"(106.278473, 1763.816284)"
n_001070,neutral,4100,"(53.513248, -672.075623)"
n_001072,neutral,4355,"(-61.438427, -684.862976)"
n_001074,neutral,363,"(481.665833, 1089.960205)"
n_001075,neutral,24904,"(977.29126, 193.928391)"
n_001076,neutral,30560,"(-404.159698, -117.837784)"
n_001077,neutral,647692,"(-15.428823, 473.488586)"
n_001079,neutral,11306,"(319.730682, 1027.235229)"
n_00108,neutral,1860,"(-76.761223, 1861.854004)"
n_001080,neutral,2091,"(715.372009, 1357.927368)"
n_001082,neutral,21020,"(-502.027161, -31.532145)"
n_001085,neutral,3583,"(22.625439, -270.779633)"
n_001087,neutral,6584,"(649.44696, 1586.087524)"
n_001088,neutral,14357087,"(-75.324203, 160.07135)"
n_001089,neutral,827,"(485.076447, 1251.088013)"
n_001090,neutral,541,"(517.888367, 1250.243774)"
n_001093,neutral,11891,"(637.384399, 1376.81543)"
n_001095,neutral,395713,"(-140.149841, -157.560898)"
n_001096,neutral,1163,"(975.554688, 162.492386)"
n_001099,neutral,18029,"(741.651672, 1475.753174)"
n_0011,neutral,12580,"(-6061.981934, 25781.25)"
n_001101,neutral,32028,"(803.972717, 1159.196045)"
n_001103,neutral,2651,"(324.849945, 1307.690796)"
n_001104,neutral,6534,"(-591.389099, 74.099457)"
n_001105,neutral,1306,"(773.814697, 1526.969482)"
n_001106,neutral,500,"(458.373749, 1294.550903)"
n_001111,neutral,812,"(1018.261475, 220.050812)"
n_001113,neutral,32316,"(-85.735992, -690.884888)"
n_001114,neutral,602,"(478.368866, 1572.789185)"
n_001115,neutral,67,"(281.522247, 1489.853638)"
n_001116,neutral,245,"(467.056671, 1395.055542)"
n_001119,neutral,18569,"(1031.385742, 171.71196)"
n_001120,neutral,1035,"(619.109375, -109.995743)"
n_001121,neutral,38348,"(708.459595, 1525.40271)"
n_001122,neutral,1384,"(778.165466, 1494.283569)"
n_001127,neutral,1279,"(1039.891113, 78.54615)"
n_001128,neutral,1230,"(919.788635, 56.066891)"
n_00113,neutral,557,"(5851.762695, -24218.75)"
n_001132,neutral,7701,"(597.239624, 1251.451904)"
n_001133,neutral,566381,"(-463.650452, 37.376232)"
n_001137,neutral,6142,"(75.750252, -839.683777)"
n_001138,neutral,793,"(1006.924133, 9.948559)"
n_001140,neutral,3012,"(1033.551636, 51.588715)"
n_001141,neutral,46594,"(-643.793335, 10.935991)"
n_001144,neutral,4677,"(1001.87677, 193.134796)"
n_001145,neutral,618823,"(325.185913, 924.6922)"
n_001146,neutral,3743,"(706.412231, 1479.036621)"
n_001147,neutral,53773,"(-25.261562, -26.990002)"
n_001148,neutral,1264,"(1009.467407, 70.498352)"
n_001149,neutral,287970,"(-441.249176, -29.64455)"
n_00115,neutral,14966,"(346.780182, -1719.930176)"
n_001151,neutral,2616,"(915.551758, 178.896744)"
n_001154,neutral,76397,"(-498.624664, -90.952034)"
n_001156,neutral,3101,"(738.39563, -2.368388)"
n_001157,neutral,33410,"(816.091248, 1501.495117)"
n_001158,neutral,577307,"(-418.485779, -67.516029)"
n_001161,neutral,244,"(694.608765, 787.427734)"
n_001162,neutral,38765,"(-543.997742, -34.670784)"
n_001163,neutral,6213,"(1079.435425, 210.47287)"
n_001164,neutral,7611,"(-0.622579, -843.143127)"
n_001168,neutral,165701,"(1026.538696, 245.564728)"
n_001171,neutral,832,"(497.162903, 1468.216187)"
n_001172,neutral,5205,"(742.233154, 1502.595337)"
n_001174,neutral,803326,"(-516.110718, 9.407825)"
n_001176,neutral,38126,"(742.553955, 89.58506)"
n_001177,neutral,109393,"(831.921082, 156.326019)"
